id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"To begin with, this tragic event in the mosques and what followed.  The huge, unprecedented for the last few years, mobilisations that continue throughout the country, the hundreds of thousands of strikers of last Wednesday.  The outbreak and the stubbornness of the youth of students all over Greece, but also here in the prefecture of Fthiotida fill us with hope and optimism.  All those who strike are demonstrating all those who participate in the initiatives, in schools, colleges, universities, workplaces.  They really become the voice of the dead of the tragedy of Tempi. ","Να ξεκινήσω με, αυτό το τραγικό γεγονός στα τεμένη και ό, τι ακολούθησε  Οι τεράστιες, οι πρωτοφανείς για τα τελευταία χρόνια, κινητοποιήσεις που συνεχίζονται σε όλη τη χώρα, οι εκατοντάδες χιλιάδες απεργοί της περασμένης Τετάρτης  Το ξέσπασμα και το πείσμα της νεολαίας των μαθητών των φοιτητών σε όλη την Ελλάδα, αλλά και εδώ στο νομό της Φθιώτιδας μας γεμίζουν ελπίδα μας γεμίζουν αισιοδοξία  Όλοι όσοι απεργούν διαδηλώνουν όσοι συμμετέχουν στις πρωτοβουλίες, στα σχολεία, τις σχολές, στα πανεπιστήμια, στους χώρους μέσα δουλειάς  Γίνονται πραγματικά η φωνή των νεκρών της τραγωδίας των Τεμπών",other,,youth,,protests,0.8,0.3,0.2,0.2,0.0,0.2,0.0,0.0,"[['tempi', 'tragedy', 'mosques', 'country', 'fthiotida', 'greece']]","[['tempi', 'location', '1.0'], ['greece', 'country', '1.0'], ['fthiotida', 'location', '1.0'], ['wednesday', 'date', '1.0']]"
2," These struggles are the only guarantee that the crime will not be forgotten, that the real people responsible will be identified, that something will finally change and that there will be no more children lost so unjustly in the twenty-first century in 2023.  As far as we are concerned, we will do everything to make the anger, the indignation become an unyielding fight against the real culprits.  Because it's not the bad time, nor the bad country, it's the capitalist profit and those who ruled this country. "," Οι αγώνες αυτοί είναι η μόνη εγγύηση να μην ξεχαστεί το έγκλημα για να αναδειχτούν οι πραγματικοί υπεύθυνοι για να αλλάξει επιτέλους κάτι και να μην υπάρξει άλλο παιδί που θα χαθεί τόσο άδικα τον εικοστό πρώτο αιώνα εν έτει 2023  Σε ό, τι μας αφορά, θα κάνουμε τα πάντα ώστε η οργή, η αγανάκτηση να γίνουν ανυποχώρητος αγώνας ενάντια στους πραγματικούς υπαίτιους  Γιατί δεν φταίει η κακιά η ώρα, ούτε η κακιά Η χώρα φταίει το καπιταλιστικό κέρδος και όσοι κυβέρνησαν αυτή τη χώρα",corruption,,other,,child abduction/murder,-0.5,0.9,0.2,0.2,0.1,0.6,0.2,0.0,"[['2023', 'date', '1.0']]","[['2023', 'date', '1.0'], ['capitalist profit', 'organization', '1.0']]"
3,"We know, of course, that many people are concerned about these mobilisations, because they say that the responsibilities are thus spread throughout the political system and there is a risk of strengthening the anti-systemic attitude and vote.  What they fear is exactly what must be done, what the people must do, because indeed all those who have ruled so far are responsible and indeed the basic responsibility lies with this rotten system of exploitation that they all serve, because it is a system that puts human life on the scales of the cost-benefit ratio.  Now the rage. ","Ξέρουμε βέβαια πως πολλοί και διάφοροι έχουν ανησυχήσει για αυτές τις κινητοποιήσεις, γιατί λένε οι ευθύνες έτσι διαχέονται σε όλο το πολιτικό σύστημα και υπάρχει κίνδυνος να ενισχυθεί η αντισυστημική στάση και ψήφος  Αυτό που φοβούνται είναι αυτό ακριβώς που πρέπει να γίνει που πρέπει να κάνει ο λαός, γιατί όντως ευθύνη έχουν όλοι όσοι κυβέρνησαν μέχρι σήμερα και όντως η βασική ευθύνη βαραίνει αυτό το σάπιο σύστημα της εκμετάλλευσης που όλοι μαζί υπηρετούν, γιατί είναι σύστημα που βάζει την ανθρώπινη ζωή στη ζυγαριά του κόστους οφέλους  Τώρα η οργή",political parties,,other,,political mobilizations,-0.7,0.8,0.5,0.5,0.3,0.6,0.7,0.1,[],"[['people', 'person', '0.5'], ['political system', 'organization', '0.5'], ['anti-systemic attitude', 'organization', '0.5'], ['vote', 'organization', '0.5'], ['rage', 'person', '0.5']]"
4," There is a struggle and it must continue, but a struggle that will take them and lift them and their governments and their state.  All in all, this rotten and corrupt system of theirs must be settled in the thought and action of each and every one of them.   So let the government of the New Democracy, Mr Mitsotakis, not hope that he will avoid condemnation because he postpones a few days to the elections and breaks it in May.  The Greek people, the Greek Youth, do not have such a short memory, which is exactly why let's not hope that the rest of the people, the others, SYRIZA, PASOK, will get away with it, all of them clean. "," Γίνεται αγώνας και έτσι πρέπει να συνεχίσει, αγώνας όμως που θα τους πάρει και θα τους σηκώσει και αυτούς και τις κυβερνήσεις τους και το κράτος τους  Συνολικά το σάπιο αυτό και διεφθαρμένο σύστημά τους αυτό πρέπει να κατασταλάζει στη σκέψη αλλά και στη δράση του καθένα και της καθεμιάς   Ας μην ελπίζει λοιπόν η κυβέρνηση της Νέας Δημοκρατίας ο κύριος Μητσοτάκης ότι θα αποφύγει την καταδίκη επειδή μεταθέτει λίγες μέρες στις εκλογές και τη σπάει το Μάη  Δεν έχουν τόσο κοντή μνήμη ο ελληνικός λαός, η ελληνική Νεολαία ακριβώς γι αυτό ας ας μην ελπίζουν όμως και οι υπόλοιποι, οι άλλοι ο ΣΥΡΙΖΑ το ΠΑΣΟΚ ότι θα τη βγάλουν και αυτοί καθαροί όλοι τους",corruption,,corruption,,political struggle,-0.4,0.5,0.0,0.2,0.0,0.2,0.0,0.0,"[['new democracy', 'organization', '0.6'], ['mitsotakis', 'person', '0.6'], ['greek', 'nationality', '1.0'], ['youth', 'organization', '0.6'], ['syriza', 'organization', '1.0'], ['pasok', 'organization', '1.0']]","[['1. new democracy', 'organization', '1.0'], ['2. mitsotakis', 'person', '1.0'], ['3. greek people', 'group of people', '1.0'], ['4. greek youth', 'group of people', '0.9'], ['5. syriza', 'political party', '1.0'], ['6. pasok', 'political party', '1.0'], ['7. greece', 'country', '1.0'], ['8. may', 'date', '0.95']]"
5," They are guilty and insured.  Now some of the ignorant, because all of them, under the banner of what they call the politics of liberation, have led step by step to this predestined crime that we have reached today.  So let's not dream that they will get away with it and that the elections will somehow act as a valve to decompress popular anger, popular discontent.  That has been building up over the last few years and is now being sparked by this crime in fees for Mr. Mr. "," Είναι ένοχοι και ασφαλιστούν  Τώρα κάποιοι τους ανήξερους, γιατί όλοι τους με σημαία την πολιτική που τη λένε της απελευθέρωσης οδήγησαν βήμα το βήμα εδώ που φτάσαμε σήμερα σε αυτό το προδιαγεγραμμένο έγκλημα  Γι αυτό ας μην ονειρεύονται ότι θα τη βγάλουν καθαρή και ότι οι εκλογές θα λειτουργεί σαν θα λειτουργήσουν κάπως ως βαλβίδα αποσυμπίεσης της λαϊκής οργής, της λαϊκής δυσαρέσκειας  Που έχει μαζευτεί όλα αυτά τα τελευταία χρόνια και πυροδοτείται τώρα και από αυτό το έγκλημα στα τέλη για το κ κ",corruption,,corruption,,crime,-0.8,0.86,0.9,0.6,0.8,0.8,0.8,0.2,"[['none', 'as there are no proper names or other types of named entities in the text.']]","[['mr. mr.', 'person', '0.8'], ['politics of liberation', 'group of people', '0.6'], ['elections', 'date', '0.5']]"
6," ε.  On the contrary, the elections will be an opportunity for this discontent to acquire even more militant, more genuinely radical characteristics, the strengthening of Mr.  E will be the guarantee for this.  Friends and friends we are back here in Lokrida in Kefalochori of Malesina area. "," ε  Αντίθετα, οι εκλογές θα αποτελέσουν μια ευκαιρία ώστε αυτή η δυσαρέσκεια να αποκτήσει ακόμα πιο αγωνιστικά, πιο αυθεντικά γνήσια ριζοσπαστικά χαρακτηριστικά η ενίσχυση του κ κ  Ε θα είναι η εγγύηση για αυτό  Φίλες και φίλοι είμαστε ξανά Εδώ στη Λοκρίδα στο Κεφαλοχώρι της Μαλεσίνας της περιοχής",elections,,other,,elections,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,"[['lokrida', 'location', '1.0'], ['kefalochori', 'location', '1.0'], ['malesina', 'location', '1.0'], ['mr. e', 'person', '1.0']]","[['mr. e', 'person', '0.9'], ['lokrida', 'location', '0.8'], ['kefalochori', 'location', '0.8'], ['malesina', 'location', '0.8']]"
7," And the region of LARCO and we and you and all of Greece are really angry about those who have ruled all these years.  We are angry against a policy that all these people have consciously implemented, in the direction of the European Union, of course, namely the policy of privatisation, of competition, of the rise, as they say, of their own growth indicators. With their politics, they all led us to the end of the line children who never reached their destination parents who will never see their offspring again.  Young people hungry to chase their dreams and parents who toil daily to help them on this journey.  Justifiably with this situation they were terrified. "," Και της περιοχής της ΛΑΡΚΟ και εμείς και εσείς και όλη η Ελλάδα είμαστε πραγματικά οργισμένοι για αυτούς που κυβέρνησαν όλα αυτά τα χρόνια  Είμαστε οργισμένοι απέναντι σε μία πολιτική που συνειδητά εφάρμοσαν όλοι αυτοί με κατεύθυνση βέβαια της Ευρωπαϊκής Ένωσης, δηλαδή την πολιτική των ιδιωτικοποιήσεων, του ανταγωνισμού, της ανόδου, όπως λένε των δικών τους δεικτών ανάπτυξης Με την πολιτική, τους όλοι τους μας οδήγησαν στο έσχατο παιδιά που δεν έφτασαν ποτέ στον προορισμό τους γονείς που δεν θα ξαναδούν ποτέ το βλαστάρι τους  Νέοι που διψούν να κυνηγήσουν τα όνειρά τους και γονείς που μοχθούν καθημερινά για να τους βοηθήσουν σε αυτό το ταξίδι  Δικαιολογημένα με αυτή την κατάσταση τρομοκρατήθηκαν",other,,hospital privatization,,anger towards policy-makers,-0.8,0.85,0.2,0.2,0.4,0.5,0.0,0.0,"[['larco', 'location', '1.0'], ['greece', 'location', '1.0'], ['european union', 'organization', '1.0']]","[['larco', 'location', '1.0'], ['greece', 'country', '1.0'], ['european union', 'organization', '1.0']]"
8," Today, therefore, we must demand that the knife be taken to the bone, that responsibility be held, that we do not allow this crime to be covered up en masse, that we fight, that we ensure that the.  Children all over the world to always reach their destination, to realize their dreams, to demand work, wages, rights that we can cover our needs with dignity, security at work, in the daily life of our families. This can be done today in 2023 and it will be done.  We will see to it with our unyielding action.  With our struggle we know that we have. "," Σήμερα λοιπόν, πρέπει να απαιτήσουμε το μαχαίρι να φτάσει ως το κόκκαλο, να αποδοθούν οι ευθύνες, να μην αφήσουμε να συγκαλυφθεί αυτό το έγκλημα μαζικά, να αγωνιστούμε, να εξασφαλίσουμε  Τα παιδιά όλου του κόσμου να φτάνουν πάντα στον προορισμό τους, να πραγματοποιούν τα όνειρά τους, να διεκδικήσουμε εργασία, μισθούς, δικαιώματα που να μπορούμε να καλύψουμε έτσι με αξιοπρέπεια τις ανάγκες μας, ασφάλεια στην εργασία, στην καθημερινότητα των οικογενειών μας Αυτό μπορεί να γίνει σήμερα το 2023 και αυτό θα γίνει  Θα φροντίσουμε εμείς γι αυτό με την ανυποχώρητη δράση μας  Με τον αγώνα μας γνωρίζουμε ότι έχουμε",other,,other,,social justice,0.0,0.75,0.0,0.0,0.0,0.4,0.2,0.0,[],"[['2023', 'date', '1.0'], ['children', 'group of people', '0.5'], ['families', 'group of people', '0.5']]"
9," We are here tonight in a region that has paid with deaths for the policy that all of them have implemented so far.  Governments know that we are in a region that has heard things over the years to pass this unpopular policy without reaction.  Think about what they said.  For so many years now, the governors and their various parrots in order to proceed with the policy of liberalisation and privatisation of the railways, that the railways are loss-making, that the workers are state-owned, that it must be privatised because the Greek taxpayer pays, that with privatisation there will be investments and we will have safe trains with cheap tickets, that growth will come and jobs will be created.  Does this remind you of anything.  Because they said much the same as we all know about LARCO that LARCO is a loss-making barrel without a bottom, that the workers are spoiled and well paid, they sit and get paid, they live in the settlements and have refrigerator conqueror coolers, that LARCO should be privatized to relieve the Greek taxpayer, that investors will modernize the obsolete facilities.  To operate it safely at work and with respect for the environment and that growth will come with many jobs. "," Βρισκόμαστε απόψε σε μια περιοχή που έχει πληρώσει με νεκρούς την πολιτική που εφάρμοσαν όλες αυτές μέχρι σήμερα  Οι κυβερνήσεις γνωρίζουμε ότι είμαστε σε μια περιοχή που έχει ακούσει διάφορα όλα αυτά τα χρόνια για να περάσει χωρίς αντιδράσεις αυτή η αντιλαϊκή πολιτική  Για σκεφτείτε τι έλεγαν  Τόσα χρόνια τώρα, οι κυβερνώντες και τα διάφορα παπαγαλάκια τους για να προχωρήσει η πολιτική της απελευθέρωσης της ιδιωτικοποίησης των σιδηροδρόμων, ότι ο σιδηρόδρομος είναι ζημιογόνος, ότι οι εργαζόμενοι είναι κρατικοδίαιτοι, ότι πρέπει να ιδιωτικοποιηθεί γιατί πληρώνει ο έλληνας φορολογούμενος ότι με την ιδιωτικοποίηση θα γίνουν επενδύσεις και θα έχουμε ασφαλή τρένα με φτηνό εισιτήριο ότι θα έρθει ανάπτυξη και θα ανοίξουν θέσεις εργασίας  Μήπως σας θυμίζει κάτι όλο αυτό  Γιατί περίπου τα ίδια έλεγαν όπως όλοι ξέρουμε και για τη ΛΑΡΚΟ ότι η ΛΑΡΚΟ είναι ζημιογόνα ένα βαρέλι δίχως πάτο ότι οι εργαζόμενοι είναι κακομαθημένοι και καλοπληρωμένοι, κάθονται και πληρώνονται, μένουν στους οικισμούς και έχουν ψυγείο κατακτητή ψύκτες, ότι η ΛΑΡΚΟ πρέπει να ιδιωτικοποιηθεί για να απαλλαγεί ο έλληνας φορολογούμενος ότι οι επενδυτές θα εκσυγχρονίσουν τις απαρχαιωμένες εγκαταστάσεις  Να τη λειτουργήσουν με ασφάλεια στην εργασία και με σεβασμό στο περιβάλλον και ότι θα έρθει η ανάπτυξη με πολλές θέσεις εργασίας",privatization,,hospital privatization,,privatisation,-0.7,0.8,0.3,0.4,0.6,0.6,0.7,0.1,"[['greek', 'nationality', '2%'], ['larco', 'organization', '100%'], ['greek taxpayer', 'organization', '15%'], ['governments', 'organization', '10%'], ['greek railways', 'organization', '20%']]","[['greek', 'location', '1.0'], ['larco', 'organization', '1.0'], ['greek taxpayer', 'group of people', '0.9'], ['governments', 'organization', '1.0']]"
10," What do they say now that with their policy we have reached the point of counting innocent victims young children in the mosques that now the Stationmaster is to blame?  It is a human error that there will be accountability, We will stand by the families of the victims that we will make radical changes so that there are no more will be modernized.  Do these also remind you of something. "," Τι λένε τώρα που με την πολιτική τους φτάσαμε να μετράμε αθώα θύματα νέα παιδιά στα τεμένη ότι τώρα Φταίει ο Σταθμάρχης  Είναι ανθρώπινο λάθος ότι θα αποδοθούν ευθύνες, Θα είμαστε δίπλα στις οικογένειες των θυμάτων ότι θα κάνουμε ριζικές αλλαγές για να μην υπάρξουν άλλοι θα εκσυγχρονιστούμε  Μήπως και αυτά σας θυμίζουν κάτι",accountability,,police violence,,terrorist attack,-0.5,0.65,0.5,0.2,0.5,0.6,0.1,0.1,"[['stationmaster', 'organization', '0.6'], ['mosques', 'facility', '0.9.']]","[['1. stationmaster', 'organization', '0.6'], ['2. victims', 'group of people', '0.8'], ['3. families', 'group of people', '0.7']]"
11," Surely because they say the same thing for years now about the crimes at LARCO in la Gi that the day before yesterday the chimney that was again emitting black smoke all the time, they say the same thing in all places of work.  Human error workers have developed a culture of familiarity with risk and do not observe protective measures.  Those responsible will be punished.  We will take measures to prevent it from happening again. We will support the victim's family.  This is not what we hear every day now on the TV channels 10 days after the crime, this is what we read in the newspapers.  That's not what the journalists say, that's not what the others from the other parties say. "," Σίγουρα γιατί τα ίδια λένε χρόνια τώρα και για τα εγκλήματα στη ΛΑΡΚΟ στο la Gi που προχθές η καμινάδα που ξανά έβγαζε μαύρο καπνό όλοι λημαίνοντας στον αέρα, αυτά λένε σε όλους τους τόπους δουλειάς  Ανθρώπινο λάθος οι εργαζόμενοι έχουν αναπτύξει μια κουλτούρα εξοικείωσης με τον κίνδυνο και δεν τηρούν τα μέτρα προστασίας  Θα τιμωρηθούν οι υπεύθυνοι  Θα πάρουμε μέτρα για να μην ξανασυμβεί Θα στηρίξουμε την οικογένεια του θύματος  Αυτά δεν ακούμε κάθε μέρα τώρα στα κανάλια 10 μέρες τώρα από το έγκλημα αυτά τα διαβάζουμε στις εφημερίδες  Αυτά δεν λένε οι δημοσιογράφοι, αυτά δεν λένε οι άλλοι από τα άλλα κόμματα",other,,other,,industrial accidents at larco,0.0,0.2,0.0,0.2,0.2,0.3,0.0,0.0,"[['larco', 'organization', '1.0'], ['la gi', 'location', '1.0']]","[['larco', 'organization', '0.70'], ['la gi', 'location', '0.60'], ['human error workers', 'group of people', '0.50'], ['those responsible', 'group of people', '0.50'], [""victim's family"", 'group of people', '0.40'], ['tv channels', 'organization', '0.60'], ['newspapers', 'organization', '0.60'], ['journalists', 'group of people', '0.50'], ['other parties', 'political party', '0.50'], ['10 days', 'date', '0.60']]"
12," In fact, they are now standing so close to the families of the victims that for LARCO, for example, they voted to give them up to 100. 000 €, less than what a technocrat appointed by the same people gets in just one year in a few months, that's how much they cost human life for those lost both in the railways and in LARCO.  The workers' complaints were responded to in the same way the railways responded.  That the company is being discredited that in the complaints of the workers of LARCO they were saying you remember, we all remember that you are talking about the problems, because the company will be closed down in LARCO and all the crimes that are being committed in their workplaces.  It's easy to blame the victim eventually, since they are one and can no longer speak and when they fail they move the blame one level further.  To the colleague, the stationmaster of LARCO, the head of the workplace, i.e. any job and any service. "," Μάλιστα τώρα στέκονται τόσο δίπλα στις οικογένειες των θυμάτων που για τη ΛΑΡΚΟ, για παράδειγμα, ψήφισαν να τους δώσουν μέχρι 100 000 €, λιγότερα δηλαδή και από αυτά που παίρνει ένας διορισμένος από τους ίδιους τεχνοκράτης μόνο μέσα σε ένα χρόνο σε κάποιους μήνες τόσο κοστολογούν την ανθρώπινη ζωή για αυτούς που χάθηκαν και στους σιδηροδρόμους και στη ΛΑΡΚΟ  Στις καταγγελίες των εργαζομένων απαντούσαν με τον ίδιο τρόπο στους σιδηροδρόμους απαντούσαν  Ότι δυσφημίζεται η εταιρεία ότι στις καταγγελίες των εργαζομένων της ΛΑΡΚΟ έλεγαν τα θυμάστε, τα θυμόμαστε όλοι ότι μιλάτε για τα προβλήματα, γιατί θα κλείσει η εταιρεία στη ΛΑΡΚΟ και σε όλα τα εγκλήματα που γίνονται στους χώρους δουλειάς τους  Είναι εύκολο να αποδώσουν την ευθύνη τελικά στο θύμα, αφού είναι ένας και δεν μπορεί πια να μιλήσει και όταν δεν τα καταφέρνουν με μετακινούν την ευθύνη μια βαθμίδα παραπέρα  Στο συνάδελφο στον σταθμάρχη της ΛΑΡΚΟ, στον επικεφαλής του πόστου εργασίας, δηλαδή σε οποιαδήποτε εργασία και σε οποιαδήποτε υπηρεσία",other,,workers' rights,,corporate negligence,-0.6,0.64,0.0,0.6,0.8,0.6,0.0,0.1,"[['larco', 'organization', '1.0'], ['€', 'currency', '1.0'], ['railways', 'organization', '1.0'], ['workers', 'group of people', '1.0'], ['company', 'organization', '1.0'], ['victim', 'person', '1.0'], ['colleague', 'person', '1.0'], ['stationmaster', 'person', '1.0']]","[['larco', 'organization', '1.0'], ['€', 'date', '0.7'], ['railways', 'organization', '1.0'], ['workers', 'group of people', '1.0'], ['colleague', 'person', '0.7'], ['stationmaster', 'person', '0.7']]"
13," But the voice of the dead is heard through your voice, through our voice, through the voice of all of us, and Mr.  Ε.   is steadfastly here to strengthen this voice, to carry it throughout Greece and abroad.  In the far reaches of the world, the slogan this crime will not be forgotten of all the dead will become a voice heard these days.  All of Greece applies in full and for the dead of the pit we do not forget and will not forget the 80 dead, the hundreds of others who left from occupational diseases, the crippled.  Yes, the crime in Tempe will not be forgotten.  The crimes in every place of work, the crime in the eye, in Mandra of Attica, in the earthquakes, in the pandemic, in which even Malessina paid many deaths and with so many of our fellow human beings who inherited health problems. Friends, these days a crucial question is on everyone's mind.  How does 2023 with this great development of technology and science. "," Όμως η φωνή των νεκρών ακούγεται μέσα από τη δική σας, από τη δική μας απ τη φωνή όλων μας και το κ κ  Ε   είναι αταλάντευτα εδώ για να δυναμώσει αυτή η φωνή, να τη μεταφέρει σε όλη την Ελλάδα και στο στο εξωτερικό  Στα πέρατα του κόσμου, το σύνθημα το έγκλημα αυτό δεν θα ξεχαστεί όλων των νεκρών θα γίνουμε φωνή που ακούγεται αυτές τις μέρες  Όλη την Ελλάδα ισχύει στο ακέραιο και για τους νεκρούς της λάκκου δεν ξεχνάμε και δεν θα ξεχάσουμε τους 80 νεκρούς τους εκατοντάδες υπόλοιπους που έφυγαν από επαγγελματικές ασθένειες τους σακατεμένους  Ναι, δεν θα ξεχαστεί το έγκλημα στα Τέμπη  Τα εγκλήματα σε κάθε τόπο δουλειάς, το έγκλημα στο μάτι, στη Μάνδρα Αττικής, στους σεισμούς, στην πανδημία που και η μαλεσίνα πλήρωσε πολλούς νεκρούς και με άλλους τόσους συνανθρώπους μας που κληρονόμησαν προβλήματα υγείας Φίλες και φίλοι αυτές τις μέρες ένα κρίσιμο ερώτημα τριγυρίζει στο μυαλό όλων  Πώς γίνεται το 2023 με αυτή τη μεγάλη ανάπτυξη της τεχνολογίας και της επιστήμης",other,,other,,worker safety and remembrance of workplace tragedies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['mr. ε.', 'person', '1.0'], ['greece', 'location', '1.0'], ['tempe', 'location', '1.0'], ['mandra', 'location', '1.0'], ['attica', 'location', '1.0'], ['malessina', 'location', '1.0']]","[['mr. ε.', 'person', '1.0'], ['greece', 'country', '1.0'], ['tempe', 'location', '1.0'], ['mandra of attica', 'location', '1.0'], ['malessina', 'location', '1.0'], ['2023', 'date', '1.0']]"
