id,text,text_el,topic,topic-context,subtopic,subtopic-context,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
14," Not every mother can feel that her children are travelling safely. And yet in this rotten system of exploitation that has only profit as its god because everything that has to do with the protection of the life of the people, such as the safe movement of the people is a cost.  See for example first home auctions, wage garnishments, fine for any reason.  All this is done electronically and automatically.  No delays, no errors on trains put a bow tie on staff to cut tickets.  We were told that it is the safest way and the results are well known and at the same time tragically they made roads. There is the possibility of electronic payment at the tolls, but it is unaffordable for the people to pay the tolls.  Which resident in Malesina to go to the capital of the municipality of Lokron, Atalante.  It goes from the highway and not from the side roads which are dangerous.  None. "," Να μην μπορεί κάθε μάνα να νιώθει ότι τα παιδιά της ταξιδεύουν με ασφάλεια Κι όμως σε αυτό το σάπιο σύστημα της εκμετάλλευσης που έχει για θεό του μόνο το κέρδος γίνεται γιατί ό τι έχει να κάνει με την προστασία της ζωής του λαού, όπως είναι για παράδειγμα η ασφαλής μετακίνηση του αποτελεί κόστος  Δείτε για παράδειγμα πλειστηριασμοί πρώτης κατοικίας, κατασχέσεις μισθών, πρόστιμο για οποιοδήποτε λόγο  Όλα αυτά γίνονται ηλεκτρονικά αυτόματα  Χωρίς καθυστερήσεις, χωρίς λάθη στα τρένα φόρεσαν ένα παπιγιόν στο προσωπικό για να κόβει εισιτήρια  Μας είπαν ότι είναι το πιο ασφαλές μέσον και τα αποτελέσματα είναι γνωστά και ταυτόχρονα τραγικά φτιάξανε δρόμους Υπάρχει δυνατότητα ηλεκτρονικής πληρωμής στα διόδια, όμως είναι δυσβάσταχτη για τον λαό η διαδρομή αυτών  Ποιος κάτοικος στη Μαλεσίνα για να πάει στην πρωτεύουσα του Δήμου Λοκρών, στην Αταλάντη  Πηγαίνει από την εθνική και όχι από τους παράδρομους που είναι και επικίνδυνοι  Κανένας",infrastructure,,safety,,safe transportation,-0.4,0.9,0.0,0.6,0.5,0.8,0.0,0.1,"[['malesina', 'location', '1.0'], ['lokron', 'location', '1.0'], ['atalante', 'location', '1.0']]","[['malesina', 'location', '1.0'], ['lokron', 'location', '0.9'], ['atalante', 'location', '0.9']]"
15,"  They set up an electronic prescription system for family doctors, but there are no doctors in the villages.  The building of the Health Centre in Malesina here was never used.  Demolishes the health centers of Atalanta will have abandoned the hospitals in Livadia and Lamia.  It is in a miserable state, the doctors themselves say so, the nurses themselves say so, people, houses, property were burned.  Base on the fires took advantage of the pandemic quarantine and overnight literally the malesina filled with wind turbines. And all the time. ","  Φτιάξανε σύστημα ηλεκτρονικής συνταγογράφησης οικογενειακών γιατρών, όμως δεν υπάρχουν γιατροί στα χωριά  Το κτίριο του Κέντρου Υγείας στη Μαλεσίνα εδώ δεν αξιοποιήθηκε ποτέ  Γκρεμίζει τα κέντρα υγείας της αταλάντης θα έχουν εγκαταλείψει τα νοσοκομεία σε λιβαδειά και λαμία  Είναι σε άθλια κατάσταση, το λένε οι ίδιοι οι γιατροί, οι ίδιοι οι νοσηλευτές κάηκαν άνθρωποι, σπίτια, περιουσίες  Βάση στις πυρκαγιές αξιοποίησαν την καραντίνα της πανδημίας και σε μια νύχτα κυριολεκτικά η μαλεσίνα γέμισε ανεμογεννήτριες Κι όλο",health,,public health system,,healthcare,-0.6,0.83,0.0,0.5,0.2,0.4,0.0,0.1,"[['health centre', 'facility', '1.0'], ['malesina', 'location', '1.0'], ['atalanta', 'location', '1.0'], ['livadia', 'location', '1.0'], ['lamia', 'location', '1.0'], ['maleisna', 'location', '1.0] (assuming this is the same as ""malesina"" with a typo)']]","[['no doctors', 'person', '0.6'], ['health centre', 'organization', '0.6'], ['malesina', 'location', '0.9'], ['atalanta', 'location', '0.5'], ['livadia', 'location', '0.5'], ['lamia', 'location', '0.5'], ['doctors', 'person', '0.6'], ['nurses', 'group of people', '0.6'], ['people', 'group of people', '0.6'], ['pandemic quarantine', 'date', '0.5'], ['malesina', 'location', '0.8']]"
16," And yet no one can pay the electricity.  There are many people who are freezing cold who have no electricity to read to their children.  At the same time, despite the fact that electricity is paid for in gold, the unannounced power cuts caused by the PPC are becoming more and more frequent, burning the household appliances of popular households, professionals, leaving the work of the.  Self-employed professionals, dead for many peak hours. "," Και όμως κανένας δεν μπορεί να πληρώσει το ρεύμα  Είναι πολλοί αυτοί που ξεπάγιασαν που δεν έχουν ρεύμα να διαβάσουν τα παιδιά τους  Παράλληλα, παρά το γεγονός ότι το ρεύμα πληρώνεται χρυσό, οι απροειδοποίητες διακοπές ηλεκτροδότησης με ευθύνη της ΔΕΗ πυκνώνουν, πυκνώνουν καίγοντας τις οικιακές συσκευές των λαϊκών νοικοκυριών, των επαγγελματιών, αφήνοντας τις εργασίες των  Αυτοαπασχολούμενων επαγγελματιών, νεκρές για πολλές ώρες αιχμής",energy,,electricity,,electricity,-0.8,0.85,0.0,0.45,0.2,0.7,0.5,0.1,"[['ppc', 'organization', '0.9'], ['gold', 'currency', '0.5']]","[['ppc', 'organization', '1.0'], ['popular households', 'group of people', '0.8'], ['professionals', 'group of people', '0.8'], ['self-employed professionals', 'group of people', '0.8']]"
17," In fact, now they want to put wind turbines in the yards of the houses, as they want it together.  They want to put floating photovoltaic panels there is no end to their plans for their profits over the heads of residents on the last remaining beaches for all the people to swim.   We call on your youth to rally, to be vigilant and to fight together to prevent this crime from happening.  These crimes we must not let them get away with.  We will put the issue in Parliament, we will organize the struggle. "," Μάλιστα τώρα θέλουν να βάλουν ανεμογεννήτριες και μέσα στις αυλές των σπιτιών, όπως το μαζί θέλουν  Θέλουν να βάλουν πλωτά φωτοβολταϊκά δεν έχουν τέλος τα σχέδια για τα κέρδη τους πάνω από τα κεφάλια των κατοίκων στις τελευταίες παραλίες που έχουν απομείνει για να μπορεί να κάνουν μπάνιο όλος ο λαός   Η νεολαία σας καλούμε σε συσπείρωση, σε επαγρύπνηση όλοι μαζί να παλέψουμε για να μη συμβεί και αυτό το έγκλημα  Αυτά τα εγκλήματα να μην τους αφήσουμε να τα περάσουν  Θα βάλουμε το θέμα στη Βουλή, θα οργανώσουμε τον αγώνα",environment,,wind energy,,environmental activism,-0.7,0.89,0.2,0.4,0.7,0.6,0.8,0.2,"[['parliament', 'organization', '1.0']]","[['parliament', 'organization', 'location', 'country', 'date are not named entities.'], ['residents', 'group of people', '0.8'], ['beaches', 'location', '0.7'], ['youth', 'group of people', '0.6']]"
18,"Friends, we all know, all of us here and those who listen to us from the outside, that we are in a truly blessed region.  The waters of the larynx go to the sea.  And yet the olive grove of Malessina, Larymna, Martinos is damaged by anhydria, because business interests have nothing to gain, he says, from irrigation projects for the.  Small-scale producers, the Euboean sea can offer quality and quantity of fish and yet the trawlers sweep everything away.  Fish farms have workers on very low wages, they are squeezing them dry.  At the same time, those who lived with their boats and supplied the people's households with cheap and good fish have been wiped out.  We know and you know that Fthiotida. ","Φίλες και φίλοι, ξέρουμε όλοι και όλες εδώ μέσα και όσοι μας ακούν απ έξω πως είμαστε σε μια περιοχή πραγματικά ευλογημένη  Τα νερά της λάρυμνας πηγαίνουν στη θάλασσα  Κι όμως ο ελαιώνας της μαλεσίνας, της Λάρυμνας, του Μαρτίνου παθαίνει ζημιές από την ανυδρία, γιατί τα επιχειρηματικά συμφέροντα δεν έχουν να κερδίσουν, λέει από αρδευτικά έργα για τους  Μικροπαραγωγούς, η θάλασσα του ευβοϊκού μπορεί να προσφέρει ποιότητα και ποσότητα ψαριών και όμως οι τράτες σαρώνουν τα πάντα  Οι ιχθυοκαλλιέργειες έχουν τους εργαζόμενους με πολύ μικρά μεροκάματα, τους ξεζουμίζουν  Παράλληλα έχουν ξεκληριστεί αυτοί που ζούσαν με το καϊκι τους και τροφοδοτούσαν με φθηνό και καλό ψάρι τα λαϊκά νοικοκυριά  Ξέρουμε και ξέρετε πως η Φθιώτιδα",environment,,other,,regional problems,0.0,0.1,0.0,0.1,0.0,0.4,0.0,0.0,"[['malessina', 'location', '0.5', ''], ['larymna', 'location', '0.5', ''], ['martinos', 'location', '0.5', ''], ['euboean sea', 'location', '0.5', ''], ['fthiotida', 'location', '1.0']]","[['malessina', 'location', '0.80'], ['larymna', 'location', '0.80'], ['martinos', 'location', '0.80'], ['euboean sea', 'location', '0.80'], ['fthiotida', 'location', '0.80']]"
19," Covers 40% of edible olive production and produces large quantities of oil.  A large part of this is here in the municipality of Lokron and yet the cost of production for farmers is unbearable and because we are in the fertilization season.  Of the pruning of the Fora weeding in the next month, basically for those of you who farm here in the copaida, you know better than anyone what unsustainable production costs mean.  What it means to have frost in the plain of Atalanti 15. "," Καλύπτει το 40% της παραγωγής βρώσιμης ελιάς και παράγει μεγάλες ποσότητες λαδιού  Μεγάλο κομμάτι αυτού είναι εδώ στο δήμο Λοκρών και όμως το κόστος παραγωγής για τους αγρότες είναι δυσβάσταχτο και επειδή είμαστε στην εποχή της λίπανσης  Του κλαδέματος της ζιζανιοκτονίας της Φορα στον επόμενο μήνα, βασικά για όσους καλλιεργούν εδώ στην κωπαΐδα, γνωρίζετε καλύτερα από τον καθένα τι σημαίνει δυσβάσταχτο κόστος παραγωγής  Τι σημαίνει να καίει ο παγετός στον κάμπο της Αταλάντης 15",agricultural policy,,other,,olive production,-0.5,0.0,0.0,0.0,0.0,0.3,0.0,0.0,"[['lokron', 'location', '0.7'], ['fora', 'organization', '0.4'], ['atalanti', 'location', '0.5']]","[['lokron', 'location', '1.0'], ['fora', 'location', '0.6'], ['atalanti', 'location', '1.0'], ['15', 'date', '0.8']]"
20,"000 hectares of olive trees early 2022 then and to date have not been compensated.  Oil producers, while the Ministry continues to make promises again.  Again the mockery is all that, together with the rules of the free market, is driving mainly small producers away from the fields.  It's what's wiping out the peasantry. The free market rules that everyone embraces are the ones that lead to products being dumped in landfills.  To stay in the fields in the warehouses at the same time that the people have greatly reduced and degraded the nutrition of their children.  Why accuracy is unbearable. ","000 στρέμματα ελιάς αρχές του 2022 τότε και μέχρι σήμερα να μην έχουν αποζημιωθεί  Οι ελαιοπαραγωγοί, ενώ το Υπουργείο συνεχίζει πάλι τις υποσχέσεις  Πάλι την κοροϊδία είναι όλα αυτά που μαζί με τους κανόνες της ελεύθερης αγοράς, την απομακρύνει τους μικρούς κυρίως παραγωγούς από τα χωράφια  Είναι αυτό που ξεκληρίζει την αγροτιά Οι κανόνες της ελεύθερης αγοράς που όλοι ασπάζονται είναι αυτοί που οδηγούν τα προΐόντα να πετάγονται σε χωματερές  Να μένουν στα χωράφια στις αποθήκες την ίδια στιγμή που ο λαός έχει ελαττώσει κατά πολύ και έχει υποβαθμίσει τη διατροφή των παιδιών του  Γιατί η ακρίβεια είναι δυσβάσταχτη",agricultural policy,,other,,compensation for olive tree losses,-0.8,0.8,0.0,0.68,0.5,0.8,0.0,0.0,[],"[['000 hectares', 'location', '0.5'], ['ministry', 'organization', '0.5'], ['oil producers', 'organization', '0.5'], ['small producers', 'group of people', '0.5'], ['peasantry', 'group of people', '0.5'], ['free market', 'political party', '0.5']]"
21," Tie the water is paid in gold and water cuts are increasing. Why should they sell and bottled by business groups for the direction is to pay for the good.  When it comes to water, you can tie up the biological plants that you have also paid gold for and in most villages for decades now the planned projects have not started.  For years now you've been hearing from their various elected officials in the municipality will and will and will and will and all will but also where they have started and a piece has been built as it is here in Malessina.  Again it is incomplete.  Not all households can be connected.  The station has been abandoned according to the testimonies, it is a new environmental bomb.  We literally know and you know. "," Δέστε το νερό πληρώνεται χρυσό και οι διακοπές ύδρευσης όλο και αυξάνονται Γιατί πρέπει να πουλήσουν και το εμφιαλωμένο των επιχειρηματικών ομίλων για τη κατεύθυνση είναι να πληρώνουμε για το αγαθό  Που λέγεται νερό δέστε τους βιολογικούς σταθμούς που έχετε επίσης χρυσοπληρώσει και στα περισσότερα χωριά δεκαετίες τώρα δεν έχουν ξεκινήσει τα σχεδιασμένα έργα  Χρόνια τώρα ακούτε από τους διάφορους εκλεκτούς τους στο στο δήμο θα και θα και θα και όλο θα αλλά και εκεί που έχουν ξεκινήσει και έχει κατασκευαστεί ένα κομμάτι όπως είναι εδώ στη μαλεσίνα  Πάλι είναι ατελές  Δεν υπάρχει δυνατότητα σύνδεσης σε όλα τα νοικοκυριά  Έχει εγκαταλειφθεί ο σταθμός σύμφωνα με τις μαρτυρίες, αποτελεί μια νέα περιβαλλοντική βόμβα  Κυριολεκτικά ξέρουμε και ξέρετε",other,,privatization of water,,water scarcity,-0.7,0.9,0.0,0.7,0.6,0.8,0.0,0.1,"[['malessina', 'location', '1.0']]","[['malessina', 'location', '0.8']]"
22," How 60 years of LARCO's operation never developed its potential with the construction of a stainless steel plant utilizing the by-products and all the potential that LARCO has, so that thousands of workers can work in it and contribute not only to the local community but to the country as a whole.  They never exploited possibilities such as the trillions of cubic metres of hot water that have fallen into the Gulf of Evia that could warm the region in winter and give cheap energy to large greenhouse plants, for example, which would also employ thousands of workers. Here's how many drugs are produced in our country and at the same time they are missing from pharmacies here's the situation they have put the small shopkeepers in.  We see here the landscaping of the square and this square and the square's square at a considerable cost, even to put cement on top of cement.Have the professionals who have their shops around the squares been asked at all what exactly they propose, so that everyone has the same opportunity to create a space where workers can come with their children to drink their coffee, to drink their cigarettes, so that there are places where the children can come and drink their coffee, to have their cigarettes, to have a place where the children can have their coffee, to have their cigarettes, to have a place where they can drink their cigarettes, to have a place where they can have their coffee, to have their cigarettes.  They will play safely. "," Πώς 60 χρόνια λειτουργίας της ΛΑΡΚΟ που ποτέ δεν ανέπτυξαν τις δυνατότητές της με κατασκευή μονάδας ανοξείδωτου χάλυβα με αξιοποίηση των υποπροϊόντων και όλων των δυνατοτήτων που έχει η ΛΑΡΚΟ, έτσι ώστε να εργάζονται χιλιάδες εργαζόμενοι σ αυτή και να προσφέρει όχι μόνο στην τοπική κοινωνία, αλλά συνολικά σε όλη τη χώρα  Ποτέ δεν αξιοποιήθηκαν δυνατότητες όπως τα τρισεκατομμύρια κυβικά ζεστών υδάτων που έχουν πέσει στον Ευβοϊκό Κόλπο που θα μπορούσαν να ζεστάνουν την περιοχή τον χειμώνα και να δίνουν και φθηνή ενέργεια σε μεγάλες θερμοκηπιακέςγια παράδειγμα, μονάδες που θα δούλευαν επίσης χιλιάδες εργαζόμενοι Δεστε  πόσα φάρμακα παράγονται στη χώρα μας και την ίδια στιγμή λείπουν από τα φαρμακεία δέστε σε τι κατάσταση έχουν φέρει τους μικρομαγαζάτορες  Βλέπουμε εδώ Διαμόρφωση της πλατείας και αυτής και της κα του με αρκετό μεγάλο κόστος μάλιστα για να πέσει τσιμέντο πάνω στο τσιμέντο ρώτησαν καθόλου τους επαγγελματίες που έχουν τα μαγαζιά τους γύρω από τις πλατείες,το τι ακριβώς προτείνουν, έτσι ώστε να έχουν όλοι την ίδια δυνατότητα να διαμορφωθεί ένας χώρος που να έρχονται οι εργαζόμενοι με τα παιδιά τους να πίνουν τον καφέ τους, να πίνουν το τσιπουράκι τους, να υπάρχουν χώροι που τα παιδιά  Με ασφάλεια θα παίζουν",other,,other,,development and potential of larco's operations,0.0,0.25,0.2,0.2,0.5,0.5,0.0,0.0,"[['larco', 'organization', '1.0'], ['gulf of evia', 'location', '1.0'], ['evian gulf', 'location', '0.75'], ['workers', 'person', '1.0'], ['country', 'location', '1.0'], ['greenhouse plants', 'organization', '1.0'], ['drugs', 'product', '1.0'], ['pharmacies', 'organization', '1.0'], ['small shopkeepers', 'person', '1.0'], ['landscaping', 'activity', '1.0'], ['square', 'location', '1.0'], ['professionals', 'person', '1.0'], ['children', 'person', '1.0']]","[['larco', 'organization', '0.8'], ['gulf of evia', 'location', '0.7'], ['country', 'country', '0.6'], ['pharmacies', 'organization', '0.4'], ['small shopkeepers', 'group of people', '0.4'], ['landscaping', 'organization', '0.5'], ['professionals', 'group of people', '0.4']]"
23,"Obviously they don't do what they want, cut ribbons and stuff contractors. We have several dear friends in the area and they tell us all these concerns every day but we who are and I personally and others very often around here we see them and we have highlighted all these problems and in Parliament with questions and reports.  For example, what measures were taken after the flooding in Theologos, no.  What measures went there after the fire. ","Προφανώς και όχι κάνουν ότι θέλουν, κόβουν κορδέλες και μπουκώνουν εργολάβους Έχουμε αρκετούς αγαπημένους φίλους στην περιοχή και μας τα λένε όλα αυτά ανησυχούν καθημερινά αλλά και εμείς που βρισκόμαστε και εγώ προσωπικά και άλλοι πολύ συχνά πυκνά εδώ γύρω τα βλέπουμε και έχουμε αναδείξει όλα αυτά τα προβλήματα και στη Βουλή με ερωτήσεις και αναφορές  Για παράδειγμα, ποια μέτρα πήραν μετά την πλημμύρα στο Θεολόγο, κανένα  Ποια μέτρα πήγαν εκεί μετά την πυρκαγιά",other,,natural disasters,,local issues,-0.5,0.3,0.0,0.1,0.1,0.2,0.0,0.0,"[['theologos', 'location', '0.6'], ['parliament', 'organization', '0.4']]","[['parliament', 'organization', '0.75'], ['theologos', 'location', '0.90']]"
24," Also in Theologos in the rest of the region.  there are too many problems facing the people in every region.  Here in Malesina the ring road that has not been opened for decades, resulting in heavy tractor vehicles and machinery passing through the village next to the children playing and riding their bikes, as well as the fact that there is also no public transport to connect the villages of the area to the city of Malesina and Atalante, the passage of cars, tractors and machinery, children playing and riding their bikes, and the fact that there is no public transport between the villages of the area and the city of Malesina. "," Επίσης στο Θεολόγο στην υπόλοιπη περιοχή  είναι πάρα πολλά τα προβλήματα που αντιμετωπίζει ο λαός σε κάθε περιοχή  Εδώ στη μαλεσίνα ο περιφερειακός δρόμος που εδώ και δεκαετίες δεν έχει ανοίξει, με αποτέλεσμα οχήματα βαρέου τύπου τρακτέρ μηχανήματα να περνούν μέσα από το χωριό δίπλα στα παιδιά δηλαδή που παίζουν που κάνουν ποδήλατο, όπως το γεγονός ότι δεν υπάρχει επίσης συγκοινωνία για τη σύνδεση μεταξύ των χωριών της περιοχής μέσα στην πόλη της Μαλεσίνας και της Αταλάντης, η διέλευση αυτοκινήτων, τρακτέρ μηχανημάτων παιδιών που παίζουν",infrastructure,,other,,infrastructure problems,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['theologos', 'location', '1.0'], ['malesina', 'location', '1.0'], ['atalante', 'location', '1.0']]","[['theologos', 'location', '0.7'], ['malesina', 'location', '0.8'], ['atalante', 'location', '0.5']]"
25," All of this can only be a bomb that may explode at some point.  After all, small accidents, but also larger accidents are sometimes. Often many times daily, such as. "," Όλα αυτά δεν μπορεί παρά να αποτελούν μια βόμβα που κάποια στιγμή μπορεί να εκραγεί  Άλλωστε τα μικρά ατυχήματα, αλλά και τα μεγαλύτερα μερικές φορές είναι Συχνά πολλές φορές καθημερινά, όπως",other,,safety,,accidents,-0.4,0.8,0.0,0.6,0.3,0.5,0.0,0.0,[],[]
26," In the sports facilities that are installed, maintained by the parents' savings, the philanthropy of sports clubs of people who want their children to play sports.  In fact, they are not ashamed at all and at the beginning of the season we saw the government spokesman wishing the children a good season.  But he didn't take a walk into the locker room of the indoor gym and take a shower with cold water. "," Στις αθλητικές εγκαταστάσεις που είναι εγκατεστημένες, συντηρούνται από το υστέρημα των γονιών, το φιλότιμο των αθλητικών συλλόγων των ανθρώπων δηλαδή που θέλουν τα παιδιά τους να αθλούνται  Μάλιστα δεν ντρέπονται και καθόλου είδαμε στις αρχές της σεζόν τον κυβερνητικό εκπρόσωπο να εύχεται στα παιδιά καλή σεζόν  Δεν έκανε όμως καμιά βόλτα μέσα στα αποδυτήρια του κλειστού γυμναστηρίου και να κάνει εκεί ένα ντους με κρύο νερό",other,,other,,inadequate sports facilities,0.0,0.2,0.0,0.2,0.2,0.1,0.0,0.0,[],"[['parents', 'group of people', '0.8'], ['sports clubs', 'organization', '0.6'], ['government', 'organization', '0.8']]"
27," In fact, they have so much impudence that the differences between them about who will have the chair, about who will have the upper hand, they solve them by putting the children in front, as happened about a month ago when there was police intervention in the indoor basketball gym in Malesina. But such are they sit throughout their term of office all together in company.  And in the end they pretend to fight in the channels to show their difference and to steal the vote of the people.  And if the New Democracy government boasts that it has solved a 100-year-old issue, how will the houses of Malesina not be seen.  But let forest land tell the truth in full. "," Μάλιστα έχουν τόσο θράσος που τις μεταξύ τους διαφορές για το ποιος θα έχει την καρέκλα, για το ποιος θα έχει το πάνω χέρι, της λίζουν, τις λύνουν, βάζοντας μπροστά τα παιδιά, όπως έγινε πριν ένα μήνα περίπου που υπήρξε παρέμβαση της αστυνομίας στο κλειστό γυμναστήριο του μπάσκετ στη Μαλεσίνα Αλλά τέτοιοι είναι κάθονται σε όλη τη θητεία τους όλοι μαζί παρέα  Και στο τέλους κάνουν πως τσακώνονται στα κανάλια για να δείξουν δήθεν τη διαφορετικότητά τους και να υφαρπάξουν να κλέψουν την ψήφο του λαού  Και αν η κυβέρνηση της Νέας Δημοκρατίας καυχιέται ότι έλυσε ένα ζήτημα 100 ετών, όπως θα μη φαίνονται τα σπίτια της μαλεσίνας  Δασική έκταση ας πει όμως και ολοκληρωμένη την αλήθεια",other,,other,,political squabbles,-0.5,0.5,0.0,0.2,0.75,0.2,0.0,0.0,"[['malesina', 'location', '1.0'], ['new democracy', 'organization', '0.5']]","[['malesina', 'location', '1.0'], ['new democracy', 'political party', '1.0']]"
