id,text,text_el,topic,topic-other-context,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner,ner-limited
1,"Good evening.  Friends, compañeras and comrades.  And from Serres. ",Καλησπέρα σας  Φίλες και φίλοι συντρόφισσες και σύντροφοι  Και από τις Σέρρες,other,other,other,greeting or salutation,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,"[['serres', 'location', '1.0']]","[['serres', 'location', '1.0']]"
2," We welcome first of all the magnificent mobilisations of the workers of our people, especially the youth, who these days have flooded the streets and squares of cities all over Greece.  We call on them to do the same tomorrow in the big pan-worker nationwide strike to deaden the workplaces, to close schools and colleges, to make the strike meetings and the days and catch a big inflated to submit.  We said it and we do it. "," Χαιρετίζουμε πρώτα από όλα τις μεγαλειώδεις κινητοποιήσεις των εργαζομένων του λαού μας, ιδιαίτερα της νεολαίας, που αυτές τις μέρες έχουν κατακλύσει τους δρόμους και τις πλατείες των πόλεων όλης της Ελλάδας  Το ίδιο τους καλούμε να κάνουν και αύριο στη μεγάλη πανεργατική πανελλαδική απεργία να νεκρώσουν τους χώρους δουλειάς, να κλείσουν σχολεία και σχολές, να κάνουν τις απεργιακές συγκεντρώσεις και τις µέρες και πιανουν ένα μεγάλο φουσκωμένο να υποβάλει  Το είπαμε και το κάνουμε πράξη",employment,employment,strikes,nationwide strike,0.5,0.9,0.0,0.2,0.2,0.7,0.2,0.0,"[['greece', 'location', '1.0'], ['youth', 'group', '0.9'], ['workers', 'group', '0.9'], ['schools', 'organization', '0.9'], ['colleges', 'organization', '0.9'], ['strike', 'event', '0.8']]","[['greece', 'location', '1.0'], ['youth', 'group of people', '0.8'], ['workers', 'group of people', '0.8'], ['schools', 'organization', '0.6'], ['colleges', 'organization', '0.6'], ['strike meetings', 'organization', '0.6'], ['nationwide strike', 'organization', '0.6'], ['political party (unspecified)', 'political party', '0.5'], ['people (referring to greeks)', 'group of people', '0.5']]"
3, We will not leave them on a bare branch this crime will not be forgotten this people.  This youth does not forget.  The crime in Tempe. , Δεν θα τους αφήσουμε σε χλωρό κλαρί το έγκλημα αυτό δεν θα ξεχαστεί αυτός ο λαός  Αυτή η νεολαία δεν ξεχνά  Το έγκλημα στα Τέμπη,other,other,other,crime,0.0,0.5,0.0,0.2,0.0,0.8,0.0,0.0,"[['tempe', 'location', '0.8']]","[['tempe', 'location', '0.6'], ['youth', 'group of people', '0.6']]"
4," It does not forget our 57 fellow human beings who lost their lives, who sacrificed themselves on the altar of the investors' profit on the altar of cost reduction for this hostile bourgeois state.  This multi-day struggle is the promising element of these.  Here of the day is.  Really the only colour in this blackness that exists here and which this rotten system gives us generously. "," Δεν ξεχνά τους 57 συνανθρώπους μας που έχασαν τη ζωή τους, που θυσιάστηκαν στο βωμό του κέρδους των επενδυτών στο βωμό της μείωσης του κόστους για το εχθρικό αυτό αστικό κράτος  Αυτός ο πολυήμερος αγώνας είναι το ελπιδοφόρο στοιχείο αυτών  Εδώ των ημερών είναι  Πραγματικά το μόνο χρώμα μέσα σε αυτή εδώ την μαυρίλα που υπάρχει και την οποία μας τη μοιράζει απλόχερα αυτό το σάπιο σύστημα",employment,corruption,cost of living,loss of life,-0.8,1.0,0.5,0.6,0.9,0.8,0.25,0.1,"[['57', 'cardinal', '0.8']]","[['1. human beings', 'group of people', '1.0'], ['2. investors', 'group of people', '0.6'], ['3. bourgeois state', 'organization', '0.7'], ['4. system', 'organization', '0.5']]"
5," The only hope is the struggles to change something.  These days we have only had a small taste of what the united people and youth can do when they take the situation into their own hands, when they organise themselves, when they discuss collectively in the streets of struggle, when they decide their demands, their slogans, their forms of struggle, when they create their own organs of struggle.  Where there are no.  When they walk side by side with the communists who, as always, this time we are in the front line, feeling our responsibility in these critical hours.  It's already a great victory. "," Η μόνη ελπίδα είναι οι αγώνες για να αλλάξει κάτι  Αυτές τις μέρες έχουμε πάρει μόνο μια μικρή γεύση του τι μπορεί να κάνει ο ενωμένος λαός και η νεολαία όταν παίρνουν την κατάσταση στα χέρια τους όταν οργανώνονται, συζητούν συλλογικά μέσα στους δρόμους του αγώνα, αποφασίζουν τα αιτήματά τους, τα συνθήματά τους, τις μορφές της πάλης τους, όταν δημιουργούν και τα δικά τους όργανα πάλης  Εκεί που δεν υπάρχουν  Όταν βαδίζουν πλάι πλάι με τους κομμουνιστές που όπως πάντα έτσι και αυτή τη φορά είμαστε στην πρώτη γραμμή, συναισθανόμενη την ευθύνη μας μέσα σ αυτές τις κρίσιμες ώρες  Είναι ήδη μια μεγάλη νίκη",political parties,other,youth,social activism,0.8,0.2,0.0,0.1,0.0,0.1,0.0,0.0,"[['none', 'none', 'none'], ['none', 'none', 'none'], ['none', 'none', 'none'], ['united', 'organization', '0.6149'], ['none', 'none', 'none'], ['youth', 'person', '0.9932'], ['none', 'none', 'none'], ['streets', 'location', '0.8903'], ['none', 'none', 'none'], ['demands', 'organization', '0.8467'], ['slogans', 'organization', '0.7593'], ['none', 'none', 'none'], ['communists', 'organization', '0.9797'], ['none', 'none', 'none'], ['front', 'organization', '0.9962']]","[['people', 'group', 'united people and youth', '0.8'], ['organization', 'communists', '0.7'], ['location', 'streets', '0.5'], ['political party', 'front line', '0.6']]"
6," The fact that thousands of people, mostly young people, have been baptised by fire.  Their participation in the movement.  They found in practice that there is another way than that of a passive spectator.  Around him. "," Το γεγονός ότι χιλιάδες άνθρωποι, κυρίως νέοι και νέες, πήραν το βάπτισμα του πυρός  Η συμμετοχής τους στο κίνημα  Διαπίστωσαν στην πράξη ότι υπάρχει και άλλος δρόμος από αυτόν ενός παθητικού θεατή  Γύρω του",other,other,youth,activism,0.5,0.2,0.0,0.1,0.0,0.2,0.0,0.0,"[['thousands', 'number', '0.8'], ['young people', 'person', '0.9'], ['fire', 'disaster', '0.6'], ['movement', 'organization', '0.7']]","[['thousands of people', 'group of people', '1.0'], ['young people', 'group of people', '0.8'], ['the movement', 'organization', '0.9'], ['passive spectator', 'group of people', '0.6']]"
7," Easy or disillusioned those who thought that within a few days the anger would subside.  The mobilisations will fade away and the issue will be forgotten, since, as they say, for better or worse, life goes on.  Those who have tried to bring the mobilisations to their own measures have failed.  To give them the content that they would like these mobilisations to have.  Either to talk in general about the bad country, as if we are all to blame and the victims of this policy together, or to talk only about the responsibilities of a minister, a government. As if the problem only started in the last few years.  Those who have tried to set up provocations to terrorize with dismissals, with arrests even of young children, to suppress the mobilizations with state violence, have also failed.  Nothing you want to catch from them. "," Εύκολη ή διαψευστεί όσοι υπολόγιζαν ότι μέσα σε λίγες μέρες η οργή θα καταλαγιάσει  Οι κινητοποιήσεις θα ξεφουσκώνουν και το θέμα θα ξεχαστεί, αφού όπως λένε καλώς ή κακώς η ζωή συνεχίζεται  Έχουν αποτύχει όσοι προσπάθησαν να φέρουν τις κινητοποιήσεις στα δικά τους μέτρα  Να τους αποδώσουν το περιεχόμενο που εκείνοι θα ήθελαν να έχουν αυτές τις κινητοποιήσεις  Είτε να μιλούν γενικά για την κακιά τη χώρα, λες και φταίμε όλοι και οι ίδιες και τα θύματα αυτής της πολιτικής από κοινού, είτε να μιλούν μόνο για τις ευθύνες ενός υπουργού, μιας κυβέρνησης Λες και το πρόβλημα ξεκίνησε μόνο τα τελευταία χρόνια  Έχουν αποτύχει και όσοι προσπάθησαν να στήσουν προβοκάτσιες να τρομοκρατήσουν με απολύσεις, με συλλήψεις ακόμα και μικρών παιδιών, να καταστείλουν τις κινητοποιήσεις με την κρατική βία  Τίποτα δεν θέλετε να πιάνει από αυτά",democracy,democracy,protest,mobilizations,-0.4,0.1,0.1,0.1,0.1,0.2,0.0,0.0,[],[]
8," It is no coincidence that the slogan chosen by the students, the workers here in Serres, in Serres, in Serres, in Serres, in Terres, the students, on the altar of profit, lives are lost because.  In both cases, in all cases, the hunt for profit, the logic of cost-benefit that cuts security measures, protection measures, maintenance of infrastructure by the state is what leads to tragedies for them, no matter how much the government of the New Democracy and the other parties that ruled want to muddy the waters somewhat, to throw the ball of responsibility to each other.  Or in a supposedly general systemic pathogenicity, disguising the real control, they will not succeed.  The culprit is the same person who has murdered dozens of delivery workers because they were working without protection measures and in highly intensive conditions.  The culprit is the same in both the picomex and the Farm and the Samina Express.  Both in Mati and Mandra. "," Δεν είναι τυχαίο το σύνθημα που επέλεξαν οι μαθητές και οι φοιτητές, οι εργαζόμενοι εδώ στις Σέρρες στις Σέρρες ο Βασίλης στα Τέμπη, οι φοιτητές στο βωμό του κέρδους χάνονται ζωές γιατί  Και στις 2 περιπτώσεις σε όλες τις περιπτώσεις το κυνήγι του κέρδους, η λογική του κόστους οφέλους που πετσοκόβει τα μέτρα ασφαλείας, τα μέτρα προστασίας, τη συντήρηση στις υποδομές από το κράτος είναι που οδηγεί σε τραγωδίες για αυτά, όσο και να θέλει η κυβέρνηση της Νέας Δημοκρατίας και τα άλλα κόμματα που κυβέρνησαν να θολώσουν κάπως τα νερά, να πετάξουν το μπαλάκι της ευθύνης ο ένας στον άλλον  Ή σε μια δήθεν γενική παθογένεια του συστήματος, συγκαλύπτοντας των πραγματικών έλεγχο, δεν θα τα καταφέρουν  Ο ένοχος είναι αυτός ο ίδιος που έχει δολοφονήσει δεκάδες εργαζόμενους ντελιβεράδες γιατί δούλευαν χωρίς μέτρα προστασίας και σε συνθήκες μεγάλης εντατικοποίησης  Ο ένοχος είναι ο ίδιος και στη ρικομέξ και στη Φάρμα και στο Εξπρές Σάμινα  Και στο Μάτι και στη Μάνδρα",infrastructure,other,other,profit-driven tragedies,-0.75,0.8,0.2,0.5,0.6,0.15,0.0,0.0,"[['serres', 'location', '5%'], ['terres', 'location', '5%'], ['new democracy', 'organization', '5%'], ['mati', 'location', '5%'], ['mandra', 'location', '5%']]","[['serres', 'location', '1.0'], ['terres', 'location', '0.5'], ['new democracy', 'political party', '1.0'], ['mati', 'location', '1.0'], ['mandra', 'location', '1.0']]"
9," The control has a name and it's called capitalist profit.  This is the Holy Grail of the system that the new democracy and SYRIZA and PASOK and the rest of their other supplements, such as the Greek solution, for example.  Because the path of development defended by the government and the bourgeois parties in general is driven by profits and thus necessarily puts the cost-benefit ratio in the balance.  security measures in infrastructure and thus turns the state into a servant of monopoly interests.  Well of capitalist profit as if they were accumulating a lot of bad hours.  Finally, many bad moments in our country is really unacceptable vulgar to have reached the twenty-first century and the first word from the lips of the Greek Prime Minister is human error. "," Ο έλεγχος έχει ονοματεπώνυμου και λέγεται καπιταλιστικό κέρδος  Αυτό είναι το Ιερό Δισκοπότηρο του συστήματος που υπηρετούν με τόση ευλάβεια και η νέα δημοκρατία και ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ και υπόλοιπα τα υπόλοιπα συμπληρώματα τους, όπως για παράδειγμα η ελληνική λύση  Γιατί ο δρόμος ανάπτυξης που υπερασπίζεται η κυβέρνηση και γενικά τα αστικά κόμματα έχει για κινητήρια δύναμη τα κέρδη και έτσι υποχρεωτικά βάζει στο ζύγι του κόστους οφέλους  Τα μέτρα ασφαλείας σε υποδομές και μετατρέπει έτσι το κράτος σε υπηρέτη των μονοπωλιακών συμφερόντων  Λοιπόν του καπιταλιστικού κέρδους σαν να μαζεύουν πολλές κακές ώρες  Τελικά πολλές κακές στιγμές στη χώρα μας είναι πραγματικά απαράδεκτο χυδαίο να έχουμε φτάσει στον εικοστό πρώτο αιώνα και η πρώτη κουβέντα από τα χείλη μάλιστα του έλληνα πρωθυπουργού να είναι το ανθρώπινο λάθος",corruption,economy,other,capitalist profit,-0.6,0.8,0.7,0.4,0.8,0.3,0.5,0.0,"[['capitalist profit', 'person', '1.0'], ['syriza', 'organization', '0.75'], ['pasok', 'organization', '0.75'], ['greek solution', 'organization', '0.5'], ['government', 'organization', '0.5'], ['bourgeois parties', 'organization', '0.5'], ['state', 'location', '0.5'], ['monopoly interests', 'person', '0.5'], ['greek prime minister', 'person', '1.0']]","[['syriza', 'political party', '0.8'], ['pasok', 'political party', '0.8'], ['greek solution', 'group of people', '0.6'], ['government', 'organization', '0.7'], ['bourgeois parties', 'group of people', '0.6'], ['state', 'organization', '0.7'], ['monopoly interests', 'organization', '0.6'], ['greek prime minister', 'person', '0.8'], ['twenty-first century', 'date', '0.6']]"
10," And this to cover up the huge responsibility for the course of degradation and dismantling of the railways with the dismantling, privatisation and privatisation of the railway.  All these things that led to a reduction in staff and to the abandonment of the modernization of national systems and the.  For all of this they had warned workers or railroad workers.  Indeed, the announcement of the faction that supports PAME. "," Κι αυτού για να συγκαλύψει τις τεράστιες ευθύνες για την πορεία υποβάθμισης και διάλυσης στον σιδηρόδρομο με τον κατατεμαχισμό, την ιδιωτικοποίηση  Όλα αυτά δηλαδή που οδήγησαν και σε μείωση του προσωπικού και σε εγκατάλειψη του εκσυγχρονισμού των συστημάτων εθνικής  Για όλα αυτά τους είχαν προειδοποιήσει εργαζομένους ή στους σιδηροδρόμους  Μάλιστα, η ανακοίνωση της παράταξης που στηρίζει το ΠΑΜΕ",privatization,privatization,railway,railways,-0.7,0.8,0.1,0.25,0.2,0.75,0.0,0.1,"[['pame', 'organization', '0.9']]","[['pame', 'political party', '0.85'], ['railway workers', 'group of people', '0.70']]"
11," The Mr. Mr.  A few days before the accident he was saying that it was only a matter of time before we had such a tragic event.  We as a parliamentary group had warned them with our interventions in Parliament, highlighting this course that all the governments to date, even before the memoranda, have sealed with their decisions, applying the guidelines of the European Union, which were of course none other than the liberalization of markets, the liberalization of the.  Of the railways. "," Το κ κ  Ε  λίγες ημέρες πριν το δυστύχημα σταθερή έλεγε πως ήταν θέμα χρόνου να έχουμε ένα τέτοιο τραγικό γεγονός  Τους είχαμε προειδοποιήσει και εμείς ως κοινοβουλευτική ομάδα με τις παρεμβάσεις μας μέσα στη Βουλή, αναδεικνύοντας αυτή την πορεία που που σφράγισαν με τις αποφάσεις τους όλες οι μέχρι σήμερα κυβερνήσεις, πριν ακόμα και από τα μνημόνια, εφαρμόζοντας τις κατευθύνσεις της Ευρωπαϊκής Ένωσης και που ήταν βεβαίως δεν ήταν άλλες από την απελευθέρωση των αγορών, την απελευθέρωση  Των σιδηροδρόμων",privatization,privatization,railway,railway accidents,-0.45,0.2,0.2,0.0,0.1,0.2,0.0,0.0,"[['mr.', 'person', '0.8'], ['parliament', 'organization', '0.5'], ['european union', 'organization', '0.6']]","[['mr.', 'person', '1.0'], ['parliament', 'organization', '0.5'], ['european union', 'organization', '0.5'], ['railways', 'organization', '0.5']]"
12," So it's easy to blame it on human error by blaming either state government responsibility or big business responsibility to mimic this system of.  The rotten system of exploitation.  But it goes too far with human error and individual responsibility, which undoubtedly exist, but cannot explain all the problems.  And they can't specifically explain such crimes.  You heard the same of course about the tragedy with the little child in a school here in Serres, as well as this crime.  So they became each other. "," Είναι εύκολο λοιπόν να τα ρίξεις σε ένα ανθρώπινο λάθος βγάζοντας λάδι είτε την κρατική κυβερνητική ευθύνη είτε την ευθύνη των μεγάλων επιχειρηματιών για να μιμηθεί αυτό το σύστημα της  Το σάπιο σύστημα της εκμετάλλευσης  Αλλά πάει πολύ με τα ανθρώπινα λάθη και τις ατομικές ευθύνες που αναμφίβολα υπάρχουν, αλλά δεν μπορούν όμως να εξηγήσουν όλα τα προβλήματα  Και δεν μπορούν να εξηγήσουν ειδικά τέτοια εγκλήματα  Το ίδιο βέβαια ακούσατε και για την τραγωδία με το μικρό παιδί σε σχολείο εδώ στις Σέρρες, όπως και για αυτό το έγκλημα  Έτσι έγινε ο ένας στον άλλον",other,corruption,other,blame,-0.5,0.2,0.1,0.2,0.2,0.3,0.0,0.0,"[['serres', 'location', '1.0']]","[['serres', 'location', '1.0']]"
13," The ball of responsibility.  And yet in Greece 2 0 to recall the name of the development plan of the New Democracy in Greece of the digital transition of green growth, where in a few.   I know with one click, the state can grab the house of the poor people with its electronic auctions.  These auctions voted by SYRIZA and continued by New Democracy, you see, in Greece there is a state, there are laws, there is class justice to make strikes illegal for security measures. On the railways, chasing trade unionists fighting for workers' rights, even arresting high school students for claiming to live a better life than the one they have prepared for them.  The same is true for other social strata, for farmers for example.  And here in Serres, because they dared to claim to stay on their land in their fields, but when it comes to the hundreds of workers who lose their lives, they put all the blame, at most, on some engine driver or some other worker who may have real responsibilities.  But in order for the big employers and the state as a whole.  Friends, compañeras and comrades.  So it's not the bad time, the bad time, the country, but those who ruled and are ruling this country, but us.  And in fact they ruled by implementing to the letter the policy, the directives of the European Union, which they are now trying to leave out of the frame, lying that this is not happening in Europe, in the European Union.  They are made and produced. "," Το μπαλάκι των ευθυνών  Και όμως στην Ελλάδα 2 0 για να θυμηθούμε την ονομασία του αναπτυξιακού σχεδίου της Νέας Δημοκρατίας στην Ελλάδα της ψηφιακής μετάβασης της πράσινης ανάπτυξης, όπου σε μερικά   Ξέρω λεπτά με ένα κλικ, το κράτος μπορεί να αρπάζει το σπίτι του φτωχού κόσμου με τους ηλεκτρονικούς της πλειστηριασμούς  Αυτούς τους πλειστηριασμούς που ψήφισε ο ΣΥΡΙΖΑ και συνέχισε, η Νέα Δημοκρατία, βλέπετε, στην Ελλάδα αυτή υπάρχει κράτος, υπάρχουν νόμοι, υπάρχει ταξική δικαιοσύνη για να βγάζει παράνομες τις απεργίες για μέτρα ασφαλείας Στο σιδηρόδρομο να κυνηγάει τους συνδικαλιστές που παλεύουν για τα δικαιώματα των εργαζομένων να συλλαμβάνει μέχρι και μαθητές γυμνασίων επειδή διεκδικούν να ζήσουν μια καλύτερη ζωή από αυτή που τους έχουν ετοιμάσει όλοι αυτοί  Το ίδιο βέβαια ισχύει και για άλλα κοινωνικά στρώματα, για τους αγρότες για παράδειγμα  Και εδώ στις Σέρρες, γιατί τόλμησαν να διεκδικήσουν να μείνουν στη γη τους στα χωράφια τους, αλλά όταν πρόκειται για τους εκατοντάδες εργάτες που χάνουν τις ζωές τους, ρίχνουν όλο το φταίξιμο, το πολύ πολύ σε κανένα μηχανοδηγό σε κάποιον άλλο εργαζόμενου που μπορεί να έχει υπαρκτές ευθύνες  Αλλά για να βγει όμως δηλαδή συνολικά η μεγάλη εργοδοσία και το κράτος  Φίλες και φίλοι συντρόφισσες και σύντροφοι  Δεν φταίει λοιπόν η κακιά η ώρα, η κακιά, η χώρα, αλλά όσοι κυβέρνησαν και κυβερνούν αυτή τη χώρα, αλλά εμείς  Και μάλιστα κυβέρνησαν υλοποιώντας κατά γράμμα την πολιτική, τις οδηγίες της Ευρωπαϊκής Ένωσης, την οποία τώρα προσπαθούν να αφήσουν απ έξω από το κάδρο, λέγοντας ψέματα πως θα αυτά δεν γίνονται στην Ευρώπη, στην Ευρωπαϊκή Ένωση  Γίνονται και παραγίνονται",corruption,accountability,workers' rights,class injustice in greece,-0.7,0.7,0.1,0.8,0.5,0.8,0.2,0.4,"[['greece', 'location', '1.0'], ['new democracy', 'organization', '1.0'], ['syriza', 'organization', '1.0'], ['serres', 'location', '1.0'], ['european union', 'organization', '1.0']]","[['greece', 'location', 'high', 'new democracy', 'political party', 'high', 'syriza', 'political party', 'high', 'serres', 'location', 'high', 'european union', 'organization', 'high']]"
