id,text,text_el,topic,subtopic,topic-open,sentiment,polarization,polarization-definition,toxicity,toxicity-definition,populism,populism-definition,hate speech,ner
1, Good evening to all and sundry.  We start promise.  He would talk 10 minutes after the microphone to you and chat. , Καλησπέρα σε όλες και όλους  Ξεκινάμε υπόσχεση  Θα μιλούσε 10 λεπτά μετά το μικρόφωνο σε εσάς και συζήτηση,reference to other parties,other,introduction,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,[]
2," This is what Marmadakis meant.  The party wanted me to apologize for being late, but I guess I won't tell you why I'm late it's been written.  I was just at the home of my fellow friend, Companion.  A man I have in my heart and I think we all have in our hearts. "," Αυτό εννοούσε ο Μαρμαδάκης  Το κόμμα που θέλανε να ζητήσω συγγνώμη που άργησα, αλλά νομίζω δεν θα σας πω γιατί άργησα που έχει γραφτεί  Μόλις ήμουν στο σπίτι του συντρόφου φίλου Συνοδοιπόρου  Ενός ανθρώπου που τον έχω στην καρδιά μου και νομίζω ότι όλοι τον έχουμε στην καρδιά μας",reference to other parties,other,apology or lateness,0.6,0.0,0.0,0.2,0.0,0.2,0.0,0.0,"[['marmadakis', 'person', '0.9'], ['companion', 'person', '0.8']]"
3," Psarantonis of Psarantonis is in good health.  Sends.  Comrade agonistic greetings.  And we're all thrilled because he's going to be on the state ballot once again.  In the last place of honour, as it was in July 2019.  Thank you Psarantoni.  Since we started nominations with the most important of all the last day 25 statewide ballot positions, Alliance for Rupture.  My place to introduce you to some of the persons who will.  Recommend our ballot paper here in Heraklion prefecture is not all because as Kostas said, before we are in the process of creating.  By. "," Του Ψαραντώνη ο Ψαραντώνης είναι καλά στην υγεία του  Στέλνει  Συντροφικούς αγωνιστικούς χαιρετισμούς  Και μας συγκινεί όλους γιατί θα είναι άλλη μια φορά στο ψηφοδέλτιο επικρατείας  Στην τελευταία τιμητική θέση, όπως ήταν και τον Ιούλιο του 2019  Σε ευχαριστώ Ψαραντώνη  Μιας και ξεκινήσαμε υποψηφιότητες με την πιο σημαντική από όλες τις τελευταίες θέσεις ψηφοδελτίου επικρατείας του μέρα 25, συμμαχία για τη ρήξη  Θέση μου να σας συστήσω σε μερικά από τα πρόσωπα τα οποία θα  Συστήσουν το ψηφοδέλτιο μας εδώ στο νομό Ηρακλείου δεν είναι όλα γιατί όπως είπε και ο Κώστας, πριν είμαστε στη διαδικασία δημιουργίας  Μιας",reference to other parties,other,state ballot,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,"[['psarantonis', 'person', '1.0'], ['july 2019', 'date', '1.0'], ['alliance for rupture', 'organization', '1.0'], ['kostas', 'person', '1.0'], ['heraklion prefecture', 'location', '1.0']]"
4," pioneering agonistic solidarity with young and young people who come old companions with whom.  At some point we parted ways and then we met again, for example last night I was at the Gloria Theatre in Athens with Kostas Lapavitsas, with whom you know we have clashed.  Theoretically ideologically, but never personally, and now our paths again.  Yes, they were reunited. "," πρωτοποριακής αγωνιστικής συμπόρευσης με νέους και νέες ανθρώπους που έρχονται παλιούς συνοδοιπόρους με τους οποίους  Κάποια στιγμή χώρισαν οι δρόμοι μας ξαναβρέθηκαν μετά παράδειγμα χτες το βράδυ ήμουν στο Θέατρο Γκλόρια στην Αθήνα με τον Κώστα Λαπαβίτσα, με το οποίο ξέρετε ότι έχουμε συγκρουστεί  Θεωρητικά ιδεολογικά, αλλά ποτέ προσωπικά και τώρα οι δρόμοι μας ξανά  Ναι, ξαναενώθηκαν",reference to other parties,other,reunion,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,"[['gloria theatre', 'location', '1.0'], ['athens', 'location', '0.9'], ['kostas lapavitsas', 'person', '1.0.']]"
5," This is happening all over Greece, so we are leaving vacancies on our ballot for Heraklion and Chania, Rethymno, Vassilis for all the regions, because we know that in the next 2 or 3 weeks before the time comes there will be others.  Companions and other companions, compañeros, compañeras, friends, who it is good to leave some seats open on our ballot papers so that there is room, so that everyone who can contribute can come.  But.  Well, we start anyway the election campaign and it is good to have some people whom you can know as today, that they will be on the ballot papers as the first and best is my friend, comrade, fellow traveller George Loyiadis, the MP of day 25 will be the last 3. 5-4 years old. "," Αυτό γίνεται σε όλη την Ελλάδα, οπότε αφήνουμε θέσεις κενές στο ψηφοδέλτιό μας για το Ηράκλειο και τα Χανιά, το Ρέθυμνο, τον Βασίλη για όλες τις περιφέρειες, γιατί ξέρουμε ότι τις επόμενες 2 3 βδομάδες πριν έρθει το πλήρωμα του χρόνου θα υπάρχουν και άλλοι  Συνοδοιπόροι και άλλες συνοδοιπόρισσες, συντρόφισσες σύντροφοι, φίλοι που είναι καλό να αφήσουμε κάποιες θέσεις ανοιχτές στα ψηφοδέλτιά μας για να υπάρχει χώρος, να έρθουν όλοι όσοι μπορούν να προσφέρουν  Αλλά  Ωραία, ξεκινάμε έτσι κι αλλιώς την προεκλογική εκστρατεία και είναι καλό να υπάρχουν και κάποιοι άνθρωποι τους οποίους μπορείτε να ξέρετε όπως σήμερα, ότι θα είναι στα ψηφοδέλτια ως πρώτος και καλύτερος είναι ο φίλος σύντροφος, συνοδοιπόρος ο Γιώργος Λογιάδης, ο βουλευτής του μέρα 25 θα των τελευταίων 3 5-4 ετών",reference to other parties,,election campaign,0.0,0.2,0.0,0.1,0.0,0.2,0.0,0.0,"[['greece', 'location', '1.0'], ['heraklion', 'location', '0.9'], ['chania', 'location', '0.9'], ['rethymno', 'location', '0.9'], ['vassilis', 'person', '0.9'], ['george loyiadis', 'person', '0.9'], ['mp', 'organization', '0.8']]"
6," I met George for the first time when.  Without a programme almost in February 2016 we came from Europe to Berlin to found DIEM 25 and the journey is long.  The second person that I want to introduce to you that you know, but you don't know until day 25 by now you may have heard about it, but we haven't officially announced it, is Marios Dionellis, the well-known and unexceptional journalist.  It will be a great honor.  It will adorn the ballot paper on Day 25. "," Τον Γιώργο τον γνώρισα πρώτη φορά, όταν  Χωρίς πρόγραμμα σχεδόν το Φλεβάρη του 2016 βρεθήκαμε από την Ευρώπη στο Βερολίνο για να ιδρύσουμε το DIEM 25 η πορεία είναι μακρά  Το δεύτερο πρόσωπο που θέλω να σας συστήσω το ξέρετε, αλλά δεν το ξέρετε ώς μέρα 25 μέχρι τώρα μπορεί να το έχετε ψυχανεμιστεί, αλλά δεν το έχουμε ανακοινώσει επισήμως είναι ο μάριος Διονέλλης, ο γνωστός και μη εξαιρετέος δημοσιογράφος  Θα είναι μεγάλη μας τιμή  Θα κοσμεί το ψηφοδέλτιο του μέρα 25",reference to other parties,,diem 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[['george', 'person', '0.9'], ['europe', 'location', '0.7'], ['berlin', 'location', '0.8'], ['diem 25', 'organization', '0.9'], ['marios dionellis', 'person', '0.6']]"
7, Alliance for rupture.  With great emotion.  I want to ask Michael Kritsotakis for the Fifth Regional Pact and.  Which MP we were together in the House until 2015 and he declare that he is with us. , Συμμαχία για τη ρήξη  Με μεγάλη συγκίνηση  Θέλω να ζητήσω από το Μιχάλη Κριτσωτάκη το πέμπτο Περιφερειακό Σύμφωνο και  Ποιος βουλευτή που ήμασταν μαζί στη Βουλή μέχρι το 2015 και εκείνος να δηλώσει ότι είναι μαζί μας,reference to other parties,,political alliance,0.3,0.2,0.0,0.1,0.1,0.2,0.0,0.0,"[['michael kritsotakis', 'person', '0.5'], ['fifth regional pact', 'organization', '0.5']]"
8," Michael welcome Our paths are converging again and this gives us hope, agility and joy.  Because joy is very important.  The Left has lost its joy years ago and we must find it again.  Joy is power for the left.  I'm moving on to Apostolis Louloudakis. "," Μιχάλη καλωσήρθες Οι δρόμοι μας συγκλίνουν και πάλι και αυτό μας δίνει ελπίδα, αγωνιστικότητα και χαρά  Γιατί η χαρά είναι πολύ σημαντική  Η Αριστερά έχει χάσει τη χαρά της εδώ και χρόνια πρέπει να την ξαναβρούμε  Είναι δύναμη η χαρά για την αριστερά  Προχωράω στον Αποστόλη Λουλουδάκη",reference to other parties,other,left-wing politics,0.5,0.1,0.0,0.1,0.1,0.1,0.0,0.0,"[['michael', 'person', '0.95'], ['apostolis louloudakis', 'person', '0.9']]"
9," Member of the Central Central Committee.  Meras 25 You are not an economist.  Yeah, you should have been paying attention. "," Μέλος της Κεντρικής Κεντρικής Επιτροπής  Του Μερα 25 Οικονομολογος δεν εισαι  Ναι, ας πρόσεχες και εσύ",economy,other,committee membership,0.0,0.1,0.0,0.2,0.5,0.2,0.0,0.1,[]
10," Thank you, thank you for all these years, your contribution.  And finally we have the carob peace.  Which is a member of the 25 peace day here.  Here's what's in the background.  Irene caronite, is a trader. "," Ευχαριστούμε, ευχαριστούμε για όλα αυτά τα χρόνια, τη συνεισφορά σου  Και τέλος έχουμε την ειρήνη χαρωνίτη  Η οποία είναι μέλος του μέρα 25 ειρήνης εδώ  Να τι στο βάθος  Ειρήνη χαρωνίτη, είναι έμπορος",reference to other parties,other,peace,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,"[['irene caronite', 'person', '0.85']]"
11, Born and bred here we are all together.  Already the 5 minutes out of the 10 I have given myself have passed.    Two words about the situation we are in.  Just.  This morning. , Γέννημα θρέμμα εδώ είμαστε όλοι μαζί  Ήδη πέρασαν τα 5 λεπτά από τα 10 που έχω δώσει στον εαυτό μου    Δυο κουβέντες για τη συγκυρία στην οποία βρισκόμαστε  Μόλις  Σήμερα το πρωί,reference to other parties,other,location/community,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,[]
12," I was with fellow travelers in Arkalochori.  I don't need to tell you now what the word ""arkalochori"" means in Heraklion.  But it does matter.  If only for a moment to realize what is happening in Arkalochori, which is important because it is the tip of the iceberg of the misfortunes that have hit this country after the signing of the memoranda, especially the third and fourth. "," Ήμουνα με συνοδοιπόρους στο Αρκαλοχώρι  Δεν χρειάζεται να σας πω τώρα τι σημαίνει αρκαλοχώρι στο Ηράκλειο Είμαστε Ξέρετε ναι  Έχει όμως σημασία  Έστω και για μια στιγμή να συνειδητοποιήσουμε τι συμβαίνει στο Αρκαλοχώρι, το οποίο έχει σημασία γιατί αποτελεί την κορυφή του παγόβουνου των δυστυχιών που έχουν πλήξει αυτή τη χώρα μετά την υπογραφή των μνημονίων, ιδίως του τρίτου και του τέταρτου",economy,memoranda,arkalochori,-0.5,0.25,0.0,0.1,0.1,0.3,0.0,0.0,"[['arkalochori', 'location', '1.0'], ['heraklion', 'location', '1.0']]"
13," Consider.  A fund.  Irish-owned fund.  Based in Delaware.  How do you know why there's a seat in Delaware.  Because if you have a corporation incorporated in Delaware, no one, not even the President of the United States, has the right to know who you are who incorporated it. "," Σκεφτείτε  Ένα ταμείο  Ιρλανδικής ιδιοκτησίας fund  Με έδρα στο Ντέλαγουερ  Πού ξέρετε γιατί υπάρχει έδρα στο Ντέλαγουερ  Γιατί αν έχεις ίδρυση εταιρείας στο Ντέλαγουερ, Κανένας δεν είναι ούτε ο Πρόεδρος των Ηνωμένων Πολιτειών δεν έχει το δικαίωμα να ξέρει Ποιος είσαι εσύ που το ίδρυσεσ",,transparency,delaware corporations,0.0,0.2,0.0,0.1,0.3,0.2,0.0,0.0,"[['delaware', 'location', '1.0'], ['irish', 'organization', '1.0'], ['united states', 'location', '1.0.']]"
14," Complete opacity with a bank account in Cayman Islands for money to go there with zero tax.  This fund comes to Arkalochori and makes seizure and auction of houses of earthquake victims.  That is.  If I told you 10 years ago that something like this would happen, you would have thought I was crazy.  This cannot be done. "," Πλήρης αδιαφάνεια με λογαριασμό τραπεζικό σ Κέιμαν Άϊλαντς για να πηγαίνουν χρήματα εκεί με μηδεν φορολόγηση  Έρχεται αυτό το ταμείο στο Αρκαλοχώρι και κάνει κατάσχεση και πλειστηριασμό σπιτιών σεισμοπλήκτων  Δηλαδή  Αν πριν από 10 χρόνια σας έλεγα θα γινόταν κάτι τέτοιο, θα με περνάγατε για τρελό  Δεν μπορεί να γίνει κάτι τέτοιο",economy,,tax evasion,-0.9,1.0,0.1,0.8,0.6,1.0,0.0,0.3,"[['cayman islands', 'location', '0.90'], ['arkalochori', 'location', '0.70']]"
15," It's science fiction.  What do the Irish, based in Delaware and with an account in Cayman Island, want the Irish to get houses demolished.  They're even knocked down, they want to take the showers.  The rubble that the mayor has no money to move.  I want them to get these too because you know why they want it.  Because the money is a lot.  Bean by bean fills the bag or the Irish in Cayman Island Why. "," Είναι η επιστημονική φαντασία  Τι θέλουν οι Ιρλανδοί με έδρα στο Ντέλαγουερ και λογαριασμό στα Κέιμαν Άϊλαντ να παίρνουν σπίτια γκρεμισμένα  Είναι και γκρεμισμένα, θέλουν να πάρουν τα ντουβάρια  Τα μπάζα που ο δήμαρχος δεν έχει χρήματα να μετακινήσει  Θέλω να τα πάρουν και αυτά γιατί ξέρετε γιατί το θέλουν  Γιατί τα λεφτά είναι πολλά  Φασούλι φασούλι γεμίζει το σακούλι ή των Ιρλανδών στα Κέιμαν Άϊλαντ Γιατί",reference to other parties,other,irish demolitions,-0.7,0.9,0.0,0.8,0.9,0.9,0.0,0.9,"[['irish', 'location', '0.75'], ['delaware', 'location', '1.0'], ['cayman island', 'location', '1.0'], ['irish', 'misc', '0.75'], ['irish', 'misc', '0.75'], ['mayor', 'person', '0.5']]"
16," Someone had taken out a loan.  In Arkalochori 20 thousand these with overcoats became 100.  Today this shop does not make more than 10.  Even if you rebuild it again Go 15 it doesn't matter.  Do you know how much you paid to buy this loan.  500 €.  What is your soul what soul have 500 € Came the cashier gave 500 €, took the shop If you sell it 5 grand.  He's put in 500 and he's made 5 grand. "," Κάποιος είχε πάρει ένα δάνειο  Στο Αρκαλοχώρι 20 χιλιάρικα αυτά με πανωτόκια γίνανε 100  Σήμερα αυτό το μαγαζί δεν κάνει πάνω από 10  Ακόμα και να το ξαναχτίσεις Άντε 15 δεν έχει σημασία  Ξέρετε πόσα έδωσες για να αγοράσει αυτό το δάνειο  500 €  Τι σου είναι τι ψυχή έχουν 500 € Ήρθε το ταμείο έδωσε 500 €, πήρε το μαγαζί Εάν το πουλήσει 5 χιλιάρικα  Έχει βάλει 500 και έχει βγάλει 5 χιλιάρικα",,loans,loan,0.0,0.1,0.0,0.1,0.2,0.2,0.0,0.0,"[['arkalochori', 'location', '1.0'], ['500 €', 'currency', '1.0']]"
